County,State,Year,Home Value,Income per Capita
Abbeville County,SC,2000,50121,23401
Abbeville County,SC,2001,52615,23029
Abbeville County,SC,2002,60726,21383
Abbeville County,SC,2003,64416,20250
Abbeville County,SC,2004,68112,21646
Abbeville County,SC,2005,72836,22305
Abbeville County,SC,2006,78588,23313
Abbeville County,SC,2007,82500,24231
Abbeville County,SC,2008,84305,25752
Abbeville County,SC,2009,80311,25764
Abbeville County,SC,2010,74973,26687
Abbeville County,SC,2011,72916,27762
Abbeville County,SC,2012,73752,27432
Abbeville County,SC,2013,79200,28086
Abbeville County,SC,2014,82188,29421
Abbeville County,SC,2015,92451,30719
Abbeville County,SC,2016,103364,31430
Abbeville County,SC,2017,100872,32599
Abbeville County,SC,2018,107661,33353
Abbeville County,SC,2019,112496,34806
Abbeville County,SC,2020,123193,37486
Abbeville County,SC,2021,149525,40434
Abbeville County,SC,2022,173209,41213
Abbeville County,SC,2023,181428,43106
Acadia Parish,LA,2009,101962,31626
Acadia Parish,LA,2010,101751,32294
Acadia Parish,LA,2011,104755,33854
Acadia Parish,LA,2012,108470,35246
Acadia Parish,LA,2013,106057,37020
Acadia Parish,LA,2014,108873,38166
Acadia Parish,LA,2015,116597,36652
Acadia Parish,LA,2016,117427,35269
Acadia Parish,LA,2017,115377,36648
Acadia Parish,LA,2018,114437,39012
Acadia Parish,LA,2019,116889,39488
Acadia Parish,LA,2020,119987,43503
Acadia Parish,LA,2021,118200,46407
Acadia Parish,LA,2022,124000,46497
Acadia Parish,LA,2023,124316,48445
Ada County,ID,2001,167443,33761
Ada County,ID,2002,170228,34393
Ada County,ID,2003,172722,34900
Ada County,ID,2004,177465,36820
Ada County,ID,2005,191137,37535
Ada County,ID,2006,226022,40355
Ada County,ID,2007,253168,40364
Ada County,ID,2008,241089,39494
Ada County,ID,2009,205390,37857
Ada County,ID,2010,183555,38394
Ada County,ID,2011,165488,39720
Ada County,ID,2012,173540,41148
Ada County,ID,2013,202017,42501
Ada County,ID,2014,219723,44555
Ada County,ID,2015,230843,46574
Ada County,ID,2016,248312,47337
Ada County,ID,2017,269400,49404
Ada County,ID,2018,301177,51798
Ada County,ID,2019,336182,54269
Ada County,ID,2020,378458,58280
Ada County,ID,2021,523541,65449
Ada County,ID,2022,585312,69285
Ada County,ID,2023,530849,72588
Adair County,IA,2005,83746,28709
Adair County,IA,2006,86961,29810
Adair County,IA,2007,89885,31820
Adair County,IA,2008,89454,37435
Adair County,IA,2009,89961,35588
Adair County,IA,2010,88887,35015
Adair County,IA,2011,88381,40249
Adair County,IA,2012,91862,40842
Adair County,IA,2013,97540,43033
Adair County,IA,2014,107423,43300
Adair County,IA,2015,110335,45382
Adair County,IA,2016,121336,44319
Adair County,IA,2017,125206,46485
Adair County,IA,2018,131754,49454
Adair County,IA,2019,139869,49470
Adair County,IA,2020,149141,53865
Adair County,IA,2021,170418,65289
Adair County,IA,2022,194635,68566
Adair County,IA,2023,198046,69294
Adair County,MO,2012,100129,28560
Adair County,MO,2013,104572,29252
Adair County,MO,2014,113304,29869
Adair County,MO,2015,117012,30904
Adair County,MO,2016,120719,31042
Adair County,MO,2017,123471,31107
Adair County,MO,2018,125225,31939
Adair County,MO,2019,131471,32986
Adair County,MO,2020,140729,35711
Adair County,MO,2021,161367,37815
Adair County,MO,2022,164605,37520
Adair County,MO,2023,163013,40269
Adair County,OK,2000,66442,15631
Adair County,OK,2001,71675,17175
Adair County,OK,2002,73528,17997
Adair County,OK,2003,74850,17982
Adair County,OK,2004,75652,18669
Adair County,OK,2005,79555,19561
Adair County,OK,2006,83556,20080
Adair County,OK,2007,88056,20894
Adair County,OK,2008,88188,21421
Adair County,OK,2009,78918,21859
Adair County,OK,2010,75099,23392
Adair County,OK,2011,73669,24676
Adair County,OK,2012,75275,25681
Adair County,OK,2013,76474,26108
Adair County,OK,2014,80614,27230
Adair County,OK,2015,83801,29760
Adair County,OK,2016,86758,29778
Adair County,OK,2017,87223,31327
Adair County,OK,2018,91042,31975
Adair County,OK,2019,95274,33047
Adair County,OK,2020,100600,35688
Adair County,OK,2021,117779,40661
Adair County,OK,2022,143640,42294
Adair County,OK,2023,152377,42679
Adams County,CO,2000,168604,27023
Adams County,CO,2001,192730,27788
Adams County,CO,2002,206000,27923
Adams County,CO,2003,211653,28266
Adams County,CO,2004,212519,28601
Adams County,CO,2005,216704,28966
Adams County,CO,2006,218462,29791
Adams County,CO,2007,211809,30959
Adams County,CO,2008,189501,31998
Adams County,CO,2009,179241,31001
Adams County,CO,2010,179766,30907
Adams County,CO,2011,169881,32544
Adams County,CO,2012,171322,33884
Adams County,CO,2013,191314,34684
Adams County,CO,2014,213677,36741
Adams County,CO,2015,248098,38161
Adams County,CO,2016,282522,39644
Adams County,CO,2017,312616,40914
Adams County,CO,2018,341033,43139
Adams County,CO,2019,359458,45011
Adams County,CO,2020,381884,48475
Adams County,CO,2021,445290,53144
Adams County,CO,2022,510895,56659
Adams County,CO,2023,499707,58851
Adams County,ID,2012,140115,30270
Adams County,ID,2013,155166,31121
Adams County,ID,2014,169530,32746
Adams County,ID,2015,188026,34471
Adams County,ID,2016,207586,35948
Adams County,ID,2017,223526,34365
Adams County,ID,2018,237891,35898
Adams County,ID,2019,262989,39046
Adams County,ID,2020,308168,40487
Adams County,ID,2021,412983,46156
Adams County,ID,2022,515313,43876
Adams County,ID,2023,483162,45707
Adams County,IL,2009,120699,34798
Adams County,IL,2010,115624,36276
Adams County,IL,2011,114506,37590
Adams County,IL,2012,114547,38942
Adams County,IL,2013,119146,39125
Adams County,IL,2014,124531,40056
Adams County,IL,2015,126870,41329
Adams County,IL,2016,133247,42247
Adams County,IL,2017,138241,43469
Adams County,IL,2018,136286,45602
Adams County,IL,2019,142470,46545
Adams County,IL,2020,148846,51581
Adams County,IL,2021,157056,55697
Adams County,IL,2022,172886,57228
Adams County,IL,2023,186263,59776
Adams County,IN,2009,122468,27058
Adams County,IN,2010,120694,28332
Adams County,IN,2011,119193,31371
Adams County,IN,2012,118874,33364
Adams County,IN,2013,119159,34503
Adams County,IN,2014,121836,35675
Adams County,IN,2015,127237,35202
Adams County,IN,2016,133464,35379
Adams County,IN,2017,140388,37092
Adams County,IN,2018,149927,38473
Adams County,IN,2019,160386,39705
Adams County,IN,2020,170467,42485
Adams County,IN,2021,187954,47675
Adams County,IN,2022,211440,50123
Adams County,IN,2023,225668,50881
Adams County,MS,2012,103370,32472
Adams County,MS,2013,101185,33090
Adams County,MS,2014,99554,33730
Adams County,MS,2015,109513,32596
Adams County,MS,2016,115827,32151
Adams County,MS,2017,116621,32486
Adams County,MS,2018,113609,34174
Adams County,MS,2019,116726,36006
Adams County,MS,2020,119028,39532
Adams County,MS,2021,136843,46018
Adams County,MS,2022,159930,43763
Adams County,MS,2023,131669,45973
Adams County,NE,2003,93194,29517
Adams County,NE,2004,96152,29473
Adams County,NE,2005,100559,30973
Adams County,NE,2006,101539,31996
Adams County,NE,2007,103157,35124
Adams County,NE,2008,103884,36333
Adams County,NE,2009,104387,36125
Adams County,NE,2010,105956,36867
Adams County,NE,2011,107918,41089
Adams County,NE,2012,112635,43039
Adams County,NE,2013,117236,44087
Adams County,NE,2014,122942,45618
Adams County,NE,2015,131323,46233
Adams County,NE,2016,138726,45394
Adams County,NE,2017,143874,45307
Adams County,NE,2018,152609,47538
Adams County,NE,2019,163872,50077
Adams County,NE,2020,179437,52925
Adams County,NE,2021,197026,59338
Adams County,NE,2022,214752,63874
Adams County,NE,2023,222572,68330
Adams County,OH,2000,80955,20354
Adams County,OH,2001,83663,21453
Adams County,OH,2002,86452,20898
Adams County,OH,2003,88278,21430
Adams County,OH,2004,91044,22538
Adams County,OH,2005,94867,22317
Adams County,OH,2006,101595,22932
Adams County,OH,2007,109217,24324
Adams County,OH,2008,112234,24884
Adams County,OH,2009,86637,25411
Adams County,OH,2010,85629,25970
Adams County,OH,2011,85607,28111
Adams County,OH,2012,86260,28125
Adams County,OH,2013,86874,28882
Adams County,OH,2014,86762,30214
Adams County,OH,2015,89559,31667
Adams County,OH,2016,93852,32071
Adams County,OH,2017,96186,33359
Adams County,OH,2018,99432,34629
Adams County,OH,2019,103967,35622
Adams County,OH,2020,113327,39992
Adams County,OH,2021,135958,44417
Adams County,OH,2022,150534,43289
Adams County,OH,2023,150367,46026
Adams County,PA,2000,109635,26118
Adams County,PA,2001,115355,28097
Adams County,PA,2002,121804,28850
Adams County,PA,2003,129302,30247
Adams County,PA,2004,142292,31069
Adams County,PA,2005,162111,32261
Adams County,PA,2006,185168,33310
Adams County,PA,2007,194555,35082
Adams County,PA,2008,192461,36923
Adams County,PA,2009,186017,36806
Adams County,PA,2010,181471,37567
Adams County,PA,2011,174852,39061
Adams County,PA,2012,174986,39924
Adams County,PA,2013,174997,40714
Adams County,PA,2014,177793,42551
Adams County,PA,2015,182388,44189
Adams County,PA,2016,186981,44732
Adams County,PA,2017,195300,45876
Adams County,PA,2018,202845,47809
Adams County,PA,2019,210076,48859
Adams County,PA,2020,221536,52997
Adams County,PA,2021,249092,55416
Adams County,PA,2022,271916,56506
Adams County,PA,2023,283986,58880
Adams County,WA,2009,114354,29644
Adams County,WA,2010,109303,30688
Adams County,WA,2011,104893,33946
Adams County,WA,2012,104083,35932
Adams County,WA,2013,105218,36305
Adams County,WA,2014,105452,36918
Adams County,WA,2015,108963,41505
Adams County,WA,2016,113081,37640
Adams County,WA,2017,121902,36616
Adams County,WA,2018,135678,37216
Adams County,WA,2019,148411,39555
Adams County,WA,2020,166691,42318
Adams County,WA,2021,206582,48821
Adams County,WA,2022,238472,51413
Adams County,WA,2023,245290,52466
Adams County,WI,2000,102234,21483
Adams County,WI,2001,106996,22515
Adams County,WI,2002,113142,23235
Adams County,WI,2003,120767,23814
Adams County,WI,2004,128542,24371
Adams County,WI,2005,124576,24826
Adams County,WI,2006,128220,25923
Adams County,WI,2007,135337,26843
Adams County,WI,2008,134866,27935
Adams County,WI,2009,101287,28890
Adams County,WI,2010,100120,29750
Adams County,WI,2011,97965,31541
Adams County,WI,2012,98128,33663
Adams County,WI,2013,100313,34100
Adams County,WI,2014,102243,34937
Adams County,WI,2015,103805,36370
Adams County,WI,2016,108886,36867
Adams County,WI,2017,116308,38185
Adams County,WI,2018,126080,39048
Adams County,WI,2019,134037,41082
Adams County,WI,2020,142760,43949
Adams County,WI,2021,169620,45813
Adams County,WI,2022,194045,44489
Adams County,WI,2023,202064,46249
Addison County,VT,2000,135216,26797
Addison County,VT,2001,143613,28733
Addison County,VT,2002,155214,29174
Addison County,VT,2003,167125,30794
Addison County,VT,2004,208190,32050
Addison County,VT,2005,230176,32262
Addison County,VT,2006,253882,33787
Addison County,VT,2007,260885,36161
Addison County,VT,2008,253048,38262
Addison County,VT,2009,242013,37801
Addison County,VT,2010,240176,39982
Addison County,VT,2011,242967,42407
Addison County,VT,2012,250717,44698
Addison County,VT,2013,258053,44225
Addison County,VT,2014,264482,44926
Addison County,VT,2015,269797,45112
Addison County,VT,2016,272268,46504
Addison County,VT,2017,285593,48363
Addison County,VT,2018,302956,49637
Addison County,VT,2019,314248,52444
Addison County,VT,2020,328646,55954
Addison County,VT,2021,366315,59352
Addison County,VT,2022,405198,61851
Addison County,VT,2023,422459,64395
Aiken County,SC,2000,80119,25214
Aiken County,SC,2001,82577,25547
Aiken County,SC,2002,83616,26277
Aiken County,SC,2003,84683,27056
Aiken County,SC,2004,87406,27599
Aiken County,SC,2005,92287,28667
Aiken County,SC,2006,100541,29851
Aiken County,SC,2007,106927,31237
Aiken County,SC,2008,110551,32712
Aiken County,SC,2009,111801,32921
Aiken County,SC,2010,101048,33696
Aiken County,SC,2011,98016,35394
Aiken County,SC,2012,94024,35928
Aiken County,SC,2013,94061,35726
Aiken County,SC,2014,96089,37227
Aiken County,SC,2015,98766,39195
Aiken County,SC,2016,104688,39806
Aiken County,SC,2017,108160,41504
Aiken County,SC,2018,117344,42924
Aiken County,SC,2019,129168,45057
Aiken County,SC,2020,142401,47988
Aiken County,SC,2021,157836,51797
Aiken County,SC,2022,168959,51982
Aiken County,SC,2023,168207,53883
Aitkin County,MN,2011,97108,30716
Aitkin County,MN,2012,101922,31114
Aitkin County,MN,2013,109827,31648
Aitkin County,MN,2014,115369,33839
Aitkin County,MN,2015,122214,35011
Aitkin County,MN,2016,125965,36320
Aitkin County,MN,2017,130431,37878
Aitkin County,MN,2018,137124,40205
Aitkin County,MN,2019,145215,41733
Aitkin County,MN,2020,155726,46814
Aitkin County,MN,2021,177797,50679
Aitkin County,MN,2022,203521,48988
Aitkin County,MN,2023,209561,51695
Alachua County,FL,2000,108785,25072
Alachua County,FL,2001,115277,26168
Alachua County,FL,2002,121404,26607
Alachua County,FL,2003,130697,27282
Alachua County,FL,2004,147844,29832
Alachua County,FL,2005,170791,31538
Alachua County,FL,2006,201830,33152
Alachua County,FL,2007,210577,34389
Alachua County,FL,2008,195215,35527
Alachua County,FL,2009,171437,34144
Alachua County,FL,2010,160889,35484
Alachua County,FL,2011,144960,36453
Alachua County,FL,2012,135044,36142
Alachua County,FL,2013,137077,36149
Alachua County,FL,2014,144704,37542
Alachua County,FL,2015,150949,38570
Alachua County,FL,2016,160397,39213
Alachua County,FL,2017,171906,41350
Alachua County,FL,2018,183328,43316
Alachua County,FL,2019,191588,45381
Alachua County,FL,2020,207238,47686
Alachua County,FL,2021,241211,51579
Alachua County,FL,2022,281130,52424
Alachua County,FL,2023,292316,55872
Alamance County,NC,2000,132524,26166
Alamance County,NC,2001,132682,26891
Alamance County,NC,2002,135419,27071
Alamance County,NC,2003,137429,27879
Alamance County,NC,2004,134916,28150
Alamance County,NC,2005,136592,28910
Alamance County,NC,2006,144562,30935
Alamance County,NC,2007,152317,32280
Alamance County,NC,2008,151253,32981
Alamance County,NC,2009,144853,31708
Alamance County,NC,2010,140801,31996
Alamance County,NC,2011,136474,33109
Alamance County,NC,2012,132167,34019
Alamance County,NC,2013,131753,34245
Alamance County,NC,2014,133609,35424
Alamance County,NC,2015,141422,36228
Alamance County,NC,2016,150686,36896
Alamance County,NC,2017,158891,37907
Alamance County,NC,2018,169174,39318
Alamance County,NC,2019,178869,41191
Alamance County,NC,2020,191006,44125
Alamance County,NC,2021,222779,48449
Alamance County,NC,2022,267978,49338
Alamance County,NC,2023,283875,51405
Alameda County,CA,2000,345271,38818
Alameda County,CA,2001,418036,39290
Alameda County,CA,2002,443543,39063
Alameda County,CA,2003,482412,39978
Alameda County,CA,2004,546405,41472
Alameda County,CA,2005,653719,42921
Alameda County,CA,2006,694278,46093
Alameda County,CA,2007,669257,47750
Alameda County,CA,2008,604474,48349
Alameda County,CA,2009,518671,45893
Alameda County,CA,2010,521245,47625
Alameda County,CA,2011,485215,50432
Alameda County,CA,2012,471614,52296
Alameda County,CA,2013,564514,54131
Alameda County,CA,2014,650720,57009
Alameda County,CA,2015,736033,61618
Alameda County,CA,2016,812929,65215
Alameda County,CA,2017,862596,69258
Alameda County,CA,2018,953282,74193
Alameda County,CA,2019,947223,79984
Alameda County,CA,2020,964442,88190
Alameda County,CA,2021,1116692,98370
Alameda County,CA,2022,1249949,100836
Alameda County,CA,2023,1165861,106657
Alamosa County,CO,2000,106973,22342
Alamosa County,CO,2001,115906,22762
Alamosa County,CO,2002,121008,24366
Alamosa County,CO,2003,123770,23287
Alamosa County,CO,2004,127262,24335
Alamosa County,CO,2005,133912,25409
Alamosa County,CO,2006,139397,25976
Alamosa County,CO,2007,138150,27561
Alamosa County,CO,2008,136720,29061
Alamosa County,CO,2009,136589,29036
Alamosa County,CO,2010,131595,28891
Alamosa County,CO,2011,127527,30315
Alamosa County,CO,2012,132691,30402
Alamosa County,CO,2013,140167,31054
Alamosa County,CO,2014,145904,32457
Alamosa County,CO,2015,152030,34224
